Name,pIC50,Training.Test
CHEMBL3823929,4.568636236,Training
CHEMBL3824296,4.619788758,Training
CHEMBL3822943,5.193820026,Training
CHEMBL3617452,5.619788758,Training
CHEMBL1927161,5.397940009,Training
CHEMBL576256,4,Test
CHEMBL3946995,5.675717545,Training
CHEMBL2164372,4.769551079,Training
CHEMBL3408384,4.542118103,Training
CHEMBL4558874,5.628932138,Training
CHEMBL4465203,5.627087997,Training
CHEMBL1927165,5.301029996,Training
CHEMBL1927167,5.522878745,Training
CHEMBL3408386,4.93930216,Training
CHEMBL1642485,8.008773924,Training
CHEMBL1642490,8.236572006,Training
CHEMBL4211535,5.161150909,Training
CHEMBL4205471,5.366531544,Training
CHEMBL4442584,5.283996656,Training
CHEMBL3127986,3.753009301,Training
CHEMBL3127992,4.318758763,Training
CHEMBL4170320,5.349692477,Training
CHEMBL4638321,4.307153081,Training
CHEMBL4076905,4.096910013,Training
CHEMBL4102183,4.443697499,Test
CHEMBL3039517,4.55129368,Test
CHEMBL4294799,5.721337839,Test
CHEMBL2151164,5.070581074,Test
CHEMBL4163811,5.599999383,Training
CHEMBL3263282,5.236572006,Training
CHEMBL1951915,4.853871964,Training
CHEMBL4074093,5.651695137,Training
CHEMBL3237558,5.400000186,Training
CHEMBL2440456,4.560667306,Training
CHEMBL2440395,4.990124366,Training
CHEMBL2325983,5.585026652,Training
CHEMBL2325743,5.17088929,Training
CHEMBL2325742,5.041340573,Training
CHEMBL3647849,4.585026652,Training
CHEMBL4102140,4.602059991,Training
CHEMBL3577937,6.443697499,Training
CHEMBL3577945,5.744727495,Training
CHEMBL4098434,5.241088108,Training
CHEMBL2208433,5.700000504,Training
CHEMBL2324261,6.460923901,Training
CHEMBL2324257,8.004364805,Training
CHEMBL2326691,5,Training
CHEMBL4458197,5.568636236,Training
CHEMBL4069225,5.431798276,Test
CHEMBL4101684,4.696803943,Training
CHEMBL4098260,4.841637508,Training
CHEMBL4071221,5.37675071,Test
CHEMBL4070003,4.910094889,Training
CHEMBL3890736,5.031517051,Training
CHEMBL4068707,5.377785977,Training
CHEMBL3983937,5.540000226,Test
CHEMBL3953365,6.86998805,Training
CHEMBL3985877,5.920001602,Training
CHEMBL3897134,5.679999196,Training
CHEMBL2409177,4.721246399,Training
CHEMBL4520763,6.744727495,Training
CHEMBL3099951,6.22184875,Training
CHEMBL3093962,7.236572006,Training
CHEMBL3797717,5.677780705,Training
CHEMBL3799529,5.853871964,Training
CHEMBL3604691,5.698970004,Training
CHEMBL3608322,5.22184875,Training
CHEMBL3609642,5.045757491,Training
CHEMBL3785560,5.761953897,Training
CHEMBL3964649,5,Test
CHEMBL4448986,4.694648631,Training
CHEMBL4282391,5.657577319,Training
CHEMBL4279018,4.853871964,Training
CHEMBL4291213,4.795880017,Training
CHEMBL4459320,4.449771647,Training
CHEMBL461101,2.800000001,Training
CHEMBL4455587,5.251811973,Training
CHEMBL4452514,4.200659451,Training
CHEMBL3945735,5.459670525,Training
CHEMBL3897632,5.019542108,Training
CHEMBL1951917,5.102372909,Training
CHEMBL3792966,4.48148606,Training
CHEMBL4208552,5.408935393,Training
CHEMBL4638460,5.244125144,Training
CHEMBL4640465,6.229147988,Training
CHEMBL4648047,6.886056648,Training
CHEMBL1951908,5.920818754,Test
CHEMBL1951893,4.886056648,Training
CHEMBL3909266,5.744727495,Training
CHEMBL3358925,5.420216403,Training
CHEMBL4289783,4.778325003,Test
CHEMBL3359239,5.156144577,Training
CHEMBL4636056,5.327902142,Training
CHEMBL4540849,5.756961951,Training
CHEMBL4216391,5.091514981,Training
CHEMBL2409180,4.721246399,Training
CHEMBL2180528,5.15490196,Training
CHEMBL2391810,5.795880017,Test
CHEMBL2380446,4.958607315,Training
CHEMBL2380461,5.244125144,Training
CHEMBL2380438,5.552841969,Training
CHEMBL2380450,5.823908741,Training
CHEMBL3577939,5.568636236,Training
CHEMBL4535475,5.200000237,Training
CHEMBL3968881,5.387216143,Training
CHEMBL1421,4.300000029,Test
CHEMBL1956195,5.050609993,Training
CHEMBL4104889,4.853871964,Training
CHEMBL4526732,6.009217308,Training
CHEMBL4244935,5.455931956,Training
CHEMBL4436115,4.657577319,Test
CHEMBL3617330,5.853871964,Training
CHEMBL3617454,6.15490196,Training
CHEMBL1682748,7.251811973,Test
CHEMBL4640857,4.638272164,Training
CHEMBL3622105,5.619788758,Training
CHEMBL4094901,4.537602002,Training
CHEMBL4067468,5.522878745,Training
CHEMBL3735506,7.356547324,Training
CHEMBL4641148,4.384049948,Training
CHEMBL3935303,4.800000053,Training
CHEMBL4645145,5.677780705,Test
CHEMBL3774591,6.099999035,Training
CHEMBL3913607,6.719991047,Training
CHEMBL3954568,6.499996932,Training
CHEMBL3936812,6.279997898,Training
CHEMBL3947961,6.650004101,Training
CHEMBL3696117,5.958607315,Training
CHEMBL3696121,5.366531544,Training
CHEMBL3929083,6.530001358,Training
CHEMBL3422755,5.886056648,Training
CHEMBL3422758,5.756961951,Training
CHEMBL3954438,3.869666232,Training
CHEMBL3696119,5.795880017,Training
CHEMBL3699564,5.055517328,Training
CHEMBL2158774,5.200000237,Training
CHEMBL4088425,4.600326279,Training
CHEMBL3786486,5.15739076,Training
CHEMBL2441417,4.698970004,Training
CHEMBL4290141,5.200659451,Training
CHEMBL4242114,5.68613278,Test
CHEMBL4216835,5.756961951,Training
CHEMBL4640028,5.236572006,Training
CHEMBL3823962,4.920818754,Training
CHEMBL3823095,5.107905397,Training
CHEMBL4280558,6.522878745,Training
CHEMBL4277023,5.346787486,Test
CHEMBL4286715,5.602059991,Training
CHEMBL4547537,5.096910013,Training
CHEMBL3913540,5.920818754,Training
CHEMBL3904539,4.93930216,Training
CHEMBL2158773,5.200000237,Training
CHEMBL2158821,4.800000053,Training
CHEMBL4453994,5.37675071,Training
CHEMBL4079636,4.920818754,Training
CHEMBL4075394,4.896196279,Training
CHEMBL4067665,4.991399828,Training
CHEMBL4162750,6.22184875,Training
CHEMBL3120293,5.698970004,Training
CHEMBL2440392,5.49757288,Training
CHEMBL175691,6.301029996,Training
CHEMBL4639022,4.853871964,Training
CHEMBL4649473,5.420216403,Training
CHEMBL3699576,5.886056648,Training
CHEMBL3699579,5.301029996,Training
CHEMBL4171040,5.100000128,Training
CHEMBL4449766,5.075720714,Training
CHEMBL3946313,5.879998926,Training
CHEMBL4087753,4.978810701,Training
CHEMBL4097359,5.920818754,Test
CHEMBL3221109,6.408935393,Training
CHEMBL4633727,5.744727495,Training
CHEMBL3612805,5.657577319,Training
CHEMBL3927915,5.48999954,Test
CHEMBL3983509,6.698970004,Training
CHEMBL4093830,5.102372909,Training
CHEMBL4483664,6.229147988,Training
CHEMBL4545593,4.886056648,Training
CHEMBL4468680,4.795880017,Training
CHEMBL3794533,5.468521083,Training
CHEMBL3805844,5.665546249,Training
CHEMBL3699573,5.397940009,Training
CHEMBL3699574,5.15490196,Training
CHEMBL4643578,5.124938737,Training
CHEMBL3634821,5.223298816,Training
CHEMBL4289498,6.084230934,Training
CHEMBL3775810,7,Training
CHEMBL3775572,6.799998135,Training
CHEMBL3775771,5.599999383,Training
CHEMBL4170169,5.568636236,Training
CHEMBL3634342,5.096910013,Training
CHEMBL4159233,5.756218084,Test
CHEMBL4084050,5.080921908,Training
CHEMBL4072014,4.659555885,Test
CHEMBL631,5.540607512,Training
CHEMBL3958949,6.219999702,Training
CHEMBL4645474,5.920818754,Training
CHEMBL4213486,5.698970004,Training
CHEMBL4448473,6.301029996,Training
CHEMBL4451905,4.681936665,Training
CHEMBL4294221,6.045757491,Training
CHEMBL4586133,5.692503962,Training
CHEMBL4068517,5.337242168,Training
CHEMBL4074870,5.214670165,Training
CHEMBL4463663,5.056505484,Training
CHEMBL2380458,4.638272164,Training
CHEMBL4159383,5.236572006,Test
CHEMBL2382341,4.913640169,Training
CHEMBL4644274,5.920818754,Training
CHEMBL4470355,5.26760624,Training
CHEMBL4528812,4.747146969,Training
CHEMBL2069509,5.292429824,Training
CHEMBL4082519,6.15490196,Training
CHEMBL4100106,4.616184634,Training
CHEMBL1118,1.7,Training
CHEMBL1734,5.800000875,Training
CHEMBL3422235,4.974694135,Training
CHEMBL3422237,5.795880017,Training
CHEMBL3422241,5.318758763,Training
CHEMBL3422245,4.995678626,Test
CHEMBL3220877,4.73754891,Training
CHEMBL3237561,4.700000069,Test
CHEMBL1783876,4.508638306,Training
CHEMBL3417044,5.508638306,Training
CHEMBL4209058,6.455931956,Training
CHEMBL4167267,5.200000237,Test
CHEMBL4174506,5.26760624,Training
CHEMBL4176397,5.22184875,Training
CHEMBL4168028,5.040958608,Training
CHEMBL3093956,5.92885471,Training
CHEMBL3093955,6.623423043,Training
CHEMBL3093981,4.840342589,Training
CHEMBL3422016,4.769551079,Training
CHEMBL3805216,5.571865206,Training
CHEMBL4102761,5.134896025,Test
CHEMBL4078766,6.522878745,Training
CHEMBL3317856,6.230622674,Training
CHEMBL4208062,4.522878745,Training
CHEMBL4514678,6.080921908,Training
CHEMBL4534405,4.399999968,Training
CHEMBL3824323,5.031517051,Training
CHEMBL3696118,6.008773924,Training
CHEMBL3099953,6.22184875,Training
CHEMBL76,5.602059991,Training
CHEMBL4075319,5.017728767,Training
CHEMBL4286948,4.795880017,Training
CHEMBL3823499,5.128135298,Training
CHEMBL4286477,5.063737658,Training
CHEMBL4285837,4.619969752,Training
CHEMBL4461925,4.920818754,Training
CHEMBL4634969,4.522878745,Training
CHEMBL2203842,4.721246399,Training
CHEMBL3314352,4.505845406,Test
CHEMBL4439823,4.958607315,Training
CHEMBL4212425,5,Training
CHEMBL4641672,4.958607315,Training
CHEMBL3237576,4.800000053,Training
CHEMBL3237581,5.100000128,Training
CHEMBL2158785,4.800000053,Training
CHEMBL4566705,5.585026652,Test
CHEMBL4528713,4.958607315,Training
CHEMBL4524656,5.504455662,Training
CHEMBL3330226,3.992679047,Training
CHEMBL4443635,4.490797478,Training
CHEMBL4293999,5.536794068,Training
CHEMBL4160103,5.744727495,Training
CHEMBL4175534,5.800000875,Training
CHEMBL4531058,4.879426069,Training
CHEMBL4460028,4.653647026,Training
CHEMBL4635680,4.651695137,Training
CHEMBL4072602,5.886056648,Test
CHEMBL4483673,6.397940009,Training
CHEMBL4170867,5.107905397,Training
CHEMBL4644571,5.508638306,Training
CHEMBL4641530,5.468521083,Test
CHEMBL4175502,5.259637311,Training
CHEMBL4176810,5.142667504,Training
CHEMBL4643920,5.244125144,Training
CHEMBL4646639,5.619788758,Training
CHEMBL4639102,5.229147988,Training
CHEMBL4633607,5.180456064,Training
CHEMBL3609633,5.175223538,Training
CHEMBL3425810,3.116906641,Training
CHEMBL3894853,5.100000128,Training
CHEMBL4530872,5.060480747,Training
CHEMBL4466173,4.600000075,Training
CHEMBL4206313,5.515700161,Training
CHEMBL4086697,4.568636236,Training
CHEMBL4640366,4.016734647,Training
CHEMBL4281310,5.500312917,Test
CHEMBL4517408,5.080921908,Training
CHEMBL4641082,5.387216143,Test
CHEMBL4636306,4.326979093,Test
CHEMBL4641631,5.337242168,Training
CHEMBL4641839,4.619788758,Training
CHEMBL3356242,4.262012674,Training
CHEMBL3356251,4.008773924,Test
CHEMBL3823659,5.26760624,Training
CHEMBL3823914,4.638272164,Training
CHEMBL4288103,4.549750892,Training
CHEMBL4473609,5.823908741,Test
CHEMBL4640061,4.311580178,Training
CHEMBL3794427,5.677780705,Training
CHEMBL3425806,4.522878745,Training
CHEMBL4645731,5.167491087,Training
CHEMBL3422246,4.860120914,Training
CHEMBL3823522,5,Training
CHEMBL3823007,4.537602002,Training
CHEMBL3785095,6,Training
CHEMBL4086822,5.30980392,Test
CHEMBL4638273,5.22184875,Training
CHEMBL3612797,5.552841969,Test
CHEMBL2146871,6.366531544,Test
CHEMBL3612798,5.619788758,Test
CHEMBL3544911,4.698970004,Training
CHEMBL4448093,4.744727495,Test
CHEMBL4632807,6.065501549,Training
CHEMBL4471825,4.580044252,Training
CHEMBL3959240,6.650004101,Training
CHEMBL3914556,6.350003493,Training
CHEMBL3978613,6.690008071,Training
CHEMBL3822587,4.657577319,Test
CHEMBL3823030,4.537602002,Training
CHEMBL3899125,6.090000276,Training
CHEMBL3774621,6.199998172,Training
CHEMBL3422242,5.677780705,Training
CHEMBL3422243,5.318758763,Training
CHEMBL4633241,5.318758763,Training
CHEMBL4648102,5.091514981,Training
CHEMBL4067649,5.102372909,Test
CHEMBL4285798,5.823908741,Training
CHEMBL4635900,4.958607315,Training
CHEMBL4633136,4.838631998,Training
Torborinone,5,Training
Class III antiarrhythmic agent (R-17),6.537602002,Training
Class III antiarrhythmic agent (S-16),6.677780705,Training
Class III antiarrhythmic agent (S-18),6.420216403,Training
Class III antiarrhythmic agent (10),5.823908741,Training
Class III antiarrhythmic agent (11),5.055517328,Training
Class III antiarrhythmic agent (14),6,Training
Class III antiarrhythmic agent (16),7,Training
Class III antiarrhythmic agent (22),5.397940009,Training
Class III antiarrhythmic agent (23),5.619788758,Training
Renzapride,5.744727495,Training
Mosapride,4.522878745,Training
Kv1.3 channel blocker (11m),5.301029996,Test
Kv1.3 channel blocker (14m),5.045757491,Training
DW-224a,3.661543506,Training
EMD 66398,6.397940009,Test
EMD 66430,6.301029996,Training
EMD 60417,6.22184875,Training
VEGFR-2 inhibitor (12),4.744727495,Training
VEGFR-2 inhibitor (14),4.744727495,Training
VEGFR-2 inhibitor (15),4.698970004,Test
VEGFR-2 inhibitor (8),6.397940009,Training
VEGFR-2 inhibitor (10),6.301029996,Training
VEGFR-2 inhibitor (11),5.795880017,Training
DPP4 Inhibitor 25,3.522878745,Training
b-Tryptase inhibitor (1),6,Training
Vorinostat,4.522878745,Training
Belinostat,4.522878745,Training
Mocetinostat,4.522878745,Training
Entinostat,4.522878745,Training
Histone deacylase inhibitor (25f),4.522878745,Test
Histone deacylase inhibitor (25i),4.522878745,Test
Bacterial topoisomerase inhibitor (15a),5,Training
Bacterial topoisomerase inhibitor (15d),5,Training
MCH-R1 antagonist (4c),8.522878745,Training
CHK2 inhibitor (18),5.522878745,Training
CHK2 inhibitor (24),4.795880017,Training
CHK2 inhibitor (44),4.356547324,Training
CHK2 inhibitor (46),4.657577319,Test
CHK2 inhibitor (49),4.508638306,Training
CHK2 inhibitor (36),6.301029996,Training
CHK2 inhibitor (22),6.397940009,Training
CHK2 inhibitor (23),4,Training
CHK2 inhibitor (27),5.744727495,Test
CHK2 inhibitor (35),5.795880017,Test
CHK2 inhibitor (45),4.283996656,Test
CHK2 inhibitor (48),4,Test
Histamine H3 receptor antagonist (1a),5.420216403,Training
Histamine H3 receptor antagonist (1b),6.167491087,Training
H1-antihistamine (2),6.091514981,Test
H1-antihistamine (3),6.30980392,Training
H1-antihistamine (4),6.638272164,Training
H1-antihistamine (9q),6.142667504,Training
H1-antihistamine (9w),5.677780705,Test
H1-antihistamine (11d),5.119186408,Training
H1-antihistamine (14a),5.119186408,Training
H1-antihistamine (18a),5.431798276,Test
H1-antihistamine (18b),5.721246399,Training
H1-antihistamine (11g),4.924453039,Training
H1-antihistamine (11h),5.677780705,Training
H1-antihistamine (11i),6.958607315,Training
H1-antihistamine (11j),6.229147988,Training
H1-antihistamine (11k),6.638272164,Training
H1-antihistamine (12b),6.657577319,Test
H1-antihistamine (12c),6.050609993,Training
H1-antihistamine (14b),6.443697499,Test
H1-antihistamine (14c),5.468521083,Training
H1-antihistamine (14d),5.420216403,Test
H1-antihistamine (14e),5.301029996,Training
H1-antihistamine (21b),6.207608311,Training
H1-antihistamine (21c),4.657577319,Training
Nefazadone,6.568636236,Training
SB-744185,8.102372909,Test
Amiodarone derivative (2),6.420216403,Training
Amiodarone derivative (3),6.657577319,Test
Amiodarone derivative (4),5.886056648,Training
Amiodarone derivative (5),4.13076828,Training
Amiodarone derivative (7),5.075720714,Test
Amiodarone derivative (8),7.301029996,Training
Amiodarone derivative (9),7.096910013,Test
Amiodarone derivative (11),4.180456064,Test
Amiodarone derivative (10),4,Test
Amiodarone derivative (6),4,Training
mGluR5 modulator (6c),5.397940009,Test
mGluR5 modulator (12c),5.22184875,Training
MCHR1 antagonist (22),5.795880017,Training
CCR2 antagonist (8c),4.22184875,Training
GHSr-A1 antagonist (1),5.795880017,Training
GHSr-A1 antagonist (17),5.494850022,Training
GHSr-A1 antagonist (25),5.886056648,Training
GHSr-A1 antagonist (14),5.508638306,Training
GHSr-A1 antagonist (31),4.793174124,Training
GHSr-A1 antagonist (18),5.886056648,Training
GHSr-A1 antagonist (26),6.886056648,Training
GHSr-A1 antagonist (29),5.026872146,Training
GHSr-A1 antagonist (22),4.866461092,Training
GHSr-A1 antagonist (28),5.619788758,Test
GHSr-A1 antagonist (39),4.600326279,Test
GHSr-A1 antagonist (19),4.866461092,Training
GHSr-A1 antagonist (23),5.030118356,Training
GHSr-A1 antagonist (32),4.48148606,Training
GHSr-A1 antagonist (35),4.48148606,Training
Na(v) 1.7 inhibitor (1),6.292429824,Training
Na(v) 1.7 inhibitor (5),6.119186408,Training
CB2 agnist (23),5.585026652,Training
CB2 agnist (32),4.200659451,Test
CB2 agnist (34),5.207608311,Test
DPP4 inhibitor (3p),4.096910013,Test
DPP4 inhibitor (3q),4.096910013,Training
DPP4 inhibitor (3s),4.096910013,Training
DPP4 inhibitor (3t),4.096910013,Training
DPP4 inhibitor (3u),4.096910013,Test
DPP4 inhibitor (3v),4.096910013,Training
DPP4 inhibitor (3w),4.096910013,Test
DPP4 inhibitor (3x),4.096910013,Training
DPP4 inhibitor (3y),4.096910013,Training
DPP4 inhibitor (3z),4.096910013,Training
DPP4 inhibitor (3aa),4.096910013,Training
DPP4 inhibitor (3bb),4.096910013,Training
DPP4 inhibitor (3cc),4.096910013,Training
DPP4 inhibitor (3dd),4.096910013,Training
DPP4 inhibitor (3j),6,Training
DPP4 inhibitor (3k),6,Training
DPP4 inhibitor (3g),5.721246399,Test
NPY-5 antagonist (12),7.397940009,Training
NPY-5 antagonist (13),7.301029996,Training
NPY-5 antagonist (16),6,Training
NPY-5 antagonist (19),6.397940009,Test
Calcium channel blocker 1,5.684029655,Training
Calcium channel blocker 4o,6.552841969,Training
Calcium channel blocker 5p,6.537602002,Training
Calcium channel blocker 5o,5.869666232,Training
Calcium channel blocker 6c,5.403402904,Training
Calcium channel blocker 6g,5.036212173,Training
Calcium channel blocker 6m,5.389339837,Training
Calcium channel blocker 6q,4.854803594,Training
H3-antihistamine 11j,5.522878745,Training
H3-antihistamine 11k,5.107905397,Training
H3-antihistamine 12k,5.22184875,Test
p38 MAP kinase inhibiror 11,6.102372909,Training
DPP-IV inhibitor 10d,4.070581074,Test
DPP-IV inhibitor 10e,4.259637311,Training
DPP-IV inhibitor 10f,4.229147988,Training
DPP-IV inhibitor 10g,4.744727495,Training
PDE5 inhibitor 3,5.346787486,Training
PDE5 inhibitor 10,6.173925197,Training
PDE5 inhibitor 12,6.494850022,Training
PDE5 inhibitor 13,5.747146969,Training
PDE5 inhibitor 18,6.638272164,Training
PDE5 inhibitor 20,7.26760624,Training
nAChR agonist 28,4.22184875,Training
CCR2 and CCR5 antagonist 19,5.769551079,Test
Dopamine receptor antagonis 8,6.920818754,Training
Dopamine receptor antagonis 35,6.366531544,Training
DPP-IV inhibitor 32,3.782516056,Test
DPP-IV inhibitor 25,5.744727495,Training
DPP-IV inhibitor 54,4.539102157,Training
beta-Adrenoreceptor agonist 38,5,Training
Ketolide antibiotic 6l,3.707743929,Training
Ketolide antibiotic 6q,4.366531544,Test
Ketolide antibiotic 6r,3.853871964,Training
Ketolide antibiotic 6s,4.173925197,Training
ADS103253,5,Test
Dopamine D3 antagonist 32,6.455931956,Training
Dopamine D3 antagonist 35,6.698970004,Training
Dopamine D3 antagonist 51,6.958607315,Training
Dopamine D3 antagonist 74,6.337242168,Training
Histamine H3 receptor antagonist 9q,5.455931956,Training
Histamine H3 receptor antagonist 9p,5.26760624,Training
Histamine H3 receptor antagonist 9y,5.795880017,Test
Histamine H3 receptor antagonist 9aa,5.853871964,Training
Histamine H3 receptor antagonist 10e,6.045757491,Training
Histamine H3 receptorr antagonist 9s,5,Training
GlyT1 inhibitor 8a,5.363512104,Training
GlyT1 inhibitor 8b,4.879426069,Test
GlyT1 inhibitor 9b,5.812479279,Training
GlyT1 inhibitor 9c,5.764471553,Test
Renin inhibitor 21l,4.522878745,Training
DPP-IV inhibitor 20,4.26760624,Training
Histone deacetylase inhibitor 29,5,Training
VEGFR-2 inhibitor,5.180456064,Training
NITD690,4.522878745,Training
SCD inhibitor 5b,4.539102157,Training
Akt inhibitor 7,4.872895202,Training
IMPDH inhibitor 4m,4.602059991,Training
PI3K inhibitor 17,4.193820026,Training
Antimalarial drug candidate 24,5.568636236,Test
TPI 1361-17,5,Training
NBI-845,5.744727495,Training
KMS80013,4.22184875,Training
Androgen receptor antagonist (22),4,Training
Bicalutamide,3.903089987,Training
Androgen receptor antagonist (17b),4.045757491,Training
NPS-2143,6.721246399,Test
Calcium-sensing receptor antagonist 3h,5.906578315,Training
Almokalant,6.602059991,Test
H 345/52,6.623423043,Test
18-Methoxycoranaridine,4.826813732,Training
Dofetilide analogue (35),8.508638306,Test
TRPC blocker (14),4.301029996,Training
TRPC blocker (19),4.301029996,Training
mAChR antagonist (3),5.829738285,Training
mAChR antagonist (4),6.036212173,Training
mAChR antagonist (5),5.552841969,Training
mAChR antagonist (6),5.595166283,Training
mAChR antagonist (7),5.539102157,Training
mAChR antagonist (8),6.173925197,Training
Cytochrome P450 2A13 inhibitor (3),4.22184875,Test
MLK3 inhibitor (1),4.677780705,Test
KRCA-0008,4.522878745,Training
HCV polymerase inhibitor (31),5,Training
NITD-304,4.522878745,Training
Calcium channel blocker (7a),5.698970004,Test
Calcium channel blocker (7b),6.677780705,Training
Calcium channel blocker (7c),6.107905397,Training
Calcium channel blocker (10a),5.966576245,Test
Calcium channel blocker (10b),5.928117993,Training
BIIB-0577,5.065501549,Training
Syk kinase inhibitor (3d),4.698970004,Training
Syk kinase inhibitor (10c),4.603800653,Training
Syk kinase inhibitor (10d),5.086186148,Training
mChAR agonist (2),5.721246399,Training
mChAR agonist (1),5.440093375,Training
mChAR agonist (4),4.769551079,Training
mChAR agonist (5),4.560667306,Training
MK-4256,5.4710833,Training
sstr3 antagonist (4a),4.920818754,Training
DPP4 inhibitor (8l),4.397940009,Training
DPP4 inhibitor (9l),4.397940009,Test
MCHR1 antagonist (T-226296),5.853871964,Training
MCHR1 antagonist (3),5.22184875,Training
MCHR1 antagonist (8),5.15490196,Test
MCHR1 antagonist (7),4.096910013,Training
MCHR1 antagonist (5),4.096910013,Test
MCHR1 antagonist (GW803430),6,Training
MCHR1 antagonist (6),4.15490196,Training
MCHR1 antagonis (7b),4.602059991,Training
Atropine,6.251811973,Training
DDPH,5.214670165,Training
Ersentilide,6.397940009,Training
H345/52,7.397940009,Training
HMR-1556,4.899629455,Training
L-365260,5.301029996,Test
L-691121,8,Training
L-702958,8,Test
Linoleamide,5.301029996,Training
N-depropyl-propafenone,5.238072162,Training
Nisoldipine,4.638272164,Training
RP58866,7.698970004,Test
Sematilide,4.301029996,Training
Vitamin K,5.240332155,Training
WIN617773-2,7.045757491,Training
Glimepiride,5,Training
H1-antihistamine (9a),6.142064735,Training
H1-antihistamine (9b),5.638272164,Test
H1-antihistamine (10b),5.245651664,Test
H1-antihistamine (10e),6.031517051,Training
H1-antihistamine (10g),5.823908741,Training
Adrenoreceptor agonist (31),5,Training
E-2012,5.920818754,Test
Secretase inhibitor (2a),6.13076828,Training
Secretase inhibitor (5a),5.48148606,Training
Secretase inhibitor (53),6,Test
MCHR1 antagonis (10n),4.795880017,Training
DD8546,4.552841969,Training
H3-histamine antagonist (2g),5.13076828,Test
H3-histamine antagonist (2h),5.113509275,Training
H3-histamine antagonist (2j),4.958607315,Training
H3-histamine antagonist (2l),5.508638306,Training
H3-histamine antagonist (2k),4.522878745,Training
H3-histamine antagonist (2b),6,Test
H3-histamine antagonist (2c),5.920818754,Training
H3-histamine antagonist (2d),5.744727495,Training
H3-histamine antagonist (2e),6.698970004,Training
DPP-IV inhibitor (12g),5,Test
H3-histamine agonist (8a),5.698970004,Training
H3-histamine agonist (8b),5.15490196,Training
H3-histamine agonist (8e),4.522878745,Training
H3-histamine agonist (8f),4.522878745,Training
H3-histamine agonist (8g),4.522878745,Training
5-HT6 antagonist (15k),5.48148606,Training
GPR119 agonist (16),4.886056648,Training
INCB3284,4.698970004,Training
hCCR2 antagonist (18),4.619788758,Test
N-acetyl procainamide,4,Training
Kv1.5 inhibitor (1f),4.301029996,Training
Kv1.5 inhibitor (5f),4.124938737,Training
Kv1.5 inhibitor (5g),4.823908741,Training
Kv1.5 inhibitor (5h),4.443697499,Training
Kv1.5 inhibitor (5i),4.560667306,Training
Kv1.5 inhibitor (7d),4.823908741,Test
Kv1.5 inhibitor (7f),5.462180905,Training
Kv1.5 inhibitor (7g),5.449771647,Test
Kv1.5 inhibitor (7h),5.638272164,Training
Kv1.5 inhibitor (7i),4.853871964,Training
Kv1.5 inhibitor (7j),4.698970004,Training
Kv1.5 inhibitor (2),4.187086643,Test
Kv1.5 inhibitor (5b),4.22184875,Training
Kv1.5 inhibitor (5c),4.522878745,Training
Kv1.5 inhibitor (5d),4.22184875,Training
Kv1.5 inhibitor (5e),4.22184875,Training
Kv1.5 inhibitor (7a),4.22184875,Training
Kv1.5 inhibitor (7b),4.22184875,Training
Kv1.5 inhibitor (7c),4.22184875,Training
Kv1.5 inhibitor (7e),4.22184875,Training
Antimalarial (17a),4.522878745,Training
Antimalarial (18a),4.522878745,Training
Antimalarial (1a),4.522878745,Training
Antimalarial (20a),4.522878745,Test
Antimalarial (9a),4.522878745,Test
Histamine 5-HT(2A) receptor antagonist (35),5.721246399,Training
GPR119 agonist (58),4.721246399,Training
GPR119 agonist (59),4.721246399,Training
GPR119 agonist (60),4.356547324,Training
GPR119 agonist (61),5.397940009,Test
Aurora B kinase inhibitor (18),4.522878745,Training
Aurora B kinase inhibitor (29),4.522878745,Test
Aurora B kinase inhibitor (33),4.522878745,Training
Aurora B kinase inhibitor (34),4.522878745,Training
p38alpha mitogen-activated protein kinase (3c),4.886056648,Training
p38alpha mitogen-activated protein kinase (3f),4.443697499,Training
PPARalpha agonist (12),4.53313238,Training
PPARalpha agonist (13),4.698970004,Training
PPARalpha agonist (15),5,Test
PPARalpha agonist (17),5.13667714,Training
PPARalpha agonist (19),4.420216403,Training
PPARalpha agonist (23),4.27572413,Training
PPARalpha agonist (24),5.065501549,Training
PPARalpha agonist (25),4.586700236,Training
PPARalpha agonist (27),4.585026652,Test
PPARalpha agonist (14),4.096910013,Training
PPARalpha agonist (16),4.096910013,Training
PPARalpha agonist (2),3.698970004,Training
PDE5 inhibitor (14),6.251811973,Training
PDE5 inhibitor (19),5.292429824,Test
PDE5 inhibitor (25),5.853871964,Training
PDE5 inhibitor (42),5.958607315,Training
Rimonabant,5.318758763,Training
Cannabinoid-1 receptor antagonist (2),4.847711656,Test
GCC2680,4.978810701,Training
Cannabinoid-1 receptor antagonist (17c),5,Training
Cannabinoid-1 receptor antagonist (17g),5,Training
5-hydroxytryptamine(2A) receptor antagonist (14),4.721246399,Training
5-hydroxytryptamine(2A) receptor antagonist (27),4.522878745,Training
5-hydroxytryptamine(2A) receptor antagonist (4),6.096910013,Training
5-hydroxytryptamine(2A) receptor antagonist (11),6.096910013,Training
APD668,5.522878745,Training
DA-1229,4.099086932,Training
P2X7 receptor antagonist (1),5.638272164,Training
Chemokine receptor CXCR3 inhibitor (11a),4.522878745,Test
Lu AA33810,5,Test
Lymphoma kinase inhibitor (30),5.040958608,Training
Prostaglandin D2 receptor antagonist (21),4.522878745,Training
Prostaglandin D2 receptor antagonist (18),4,Test
